repo_path	expected	expected_source	expected_detail	expected_shape
unison-cli-integration/integration-tests/IntegrationTests/print.u	success	reference-parser		terms=User "print";types=;abilities=
unison-src/Base.u	failure	reference-parser	I got confused here:     60 |     take (stopExclusive `Nat.drop` start) (drop start s)   I was surprised to find a . here. I was expecting one of these instead:  * end of input * identifier (ex: abba1, snake_case, .foo.bar#xyz, .foo.++#xyz, or 🌻)	
unison-src/base58.u	success	reference-parser		terms=User "+",User "==",User "Integer.zero",User "base58Decode",User "base58Encode",User "bigEndian",User "charAt",User "codeString",User "divmod",User "foldLeft",User "shiftLeft",User "toInteger",User "unfoldRight",User "|>";types=User "Integer",User "Optional",User "Words";abilities=
unison-src/basics.u	success	reference-parser		terms=User "increment",User "merge",User "replicate",User "sort";types=;abilities=
unison-src/builtin-tests/udp-tests.u	success	reference-parser		terms=User "UDP.client'",User "UDP.server'",User "badIp",User "badPort",User "closeClient'",User "closeServer'",User "goodIp",User "goodPort",User "recv'",User "recvFrom'",User "send'",User "sendTo'",User "shouldFail",User "testServerAndClient",User "udp.tests";types=;abilities=
unison-src/demo/1.u	success	reference-parser		terms=User "increment";types=;abilities=
unison-src/demo/2.u	success	reference-parser		terms=User "halve",User "merge",User "sort",User "splitAt",User "uncons";types=;abilities=
unison-src/demo/3.u	success	reference-parser		terms=User "List.map",User "Monoid.op",User "Monoid.orElse",User "Monoid.zero",User "Node.increment",User "Remote.runLocal",User "dmapReduce",User "dreduce",User "dsort",User "dsort2",User "force",User "halve",User "merge",User "sort",User "splitAt",User "uncons";types=User "Future",User "Monoid",User "Node";abilities=User "Remote"
unison-src/errors/407.u	success	reference-parser		terms=User "foo";types=;abilities=
unison-src/errors/X-array.u	failure	reference-parser	This looks like the start of an expression here       6 | [foo +1 1 1.0, 1]  but at the file top-level, I expect one of the following:    - A binding, like [ = 42 OR                     [ : Nat                     [ = 42   - A watch expression, like > [ + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/abort-ability-checks-against-pure.u	failure	reference-parser	This looks like the start of an expression here       7 | (bork : () -> {} Nat)  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/all-errors.u	failure	reference-parser	This looks like the start of an expression here      43 | ()  but at the file top-level, I expect one of the following:    - A binding, like ( = 42 OR                     ( : Nat                     ( = 42   - A watch expression, like > ( + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/check-for-regressions/and.u	failure	reference-parser	This looks like the start of an expression here       1 | and true 3  but at the file top-level, I expect one of the following:    - A binding, like and = 42 OR                     and : Nat                     and = 42   - A watch expression, like > and + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/check-for-regressions/app-polymorphic.u	failure	reference-parser	This looks like the start of an expression here       4 | foo 1 2 3 "ha" 5  but at the file top-level, I expect one of the following:    - A binding, like foo = 42 OR                     foo : Nat                     foo = 42   - A watch expression, like > foo + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/check-for-regressions/app.u	failure	reference-parser	This looks like the start of an expression here       4 | foo 1 2 3 "ha" 5  but at the file top-level, I expect one of the following:    - A binding, like foo = 42 OR                     foo : Nat                     foo = 42   - A watch expression, like > foo + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/check-for-regressions/applying-non-function.u	failure	reference-parser	This looks like the start of an expression here       4 | id 1 1  but at the file top-level, I expect one of the following:    - A binding, like id = 42 OR                     id : Nat                     id = 42   - A watch expression, like > id + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
unison-src/errors/check-for-regressions/casebody.u	failure	reference-parser	This looks like the start of an expression here       1 | match 3 with  but at the file top-level, I expect one of the following:    - A binding, like match = 42 OR                     match : Nat                     match = 42   - A watch expression, like > match + 1   - An `ability` declaration, like unique ability Foo where ...   - A `type` declaration, like structural type Optional a = None | Some a 	
